issue_id,issue_title,issue_text,connection_dimension,connection_dimension_label,connection_relevance
1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,democratic_institutions,Democratic institutions,indirect
2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,institutional_responsiveness,Institutional responsiveness,indirect
3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",economic_security,Economic security,direct
4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,not_directly_related,Not directly related,low
5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",social_trust,Social trust,direct
6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,economic_security,Economic security,direct
7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,democratic_institutions,Democratic institutions,direct
8,Energieintensive Unternehmen,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,economic_security,Economic security,direct
9,Rente nach 40 Beitragsjahren,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,economic_security,Economic security,direct
10,Grundgesetz,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,democratic_institutions,Democratic institutions,indirect
11,Anwerbung von Fachkräften,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,institutional_responsiveness,Institutional responsiveness,indirect
12,Nutzung der Kernenergie,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,institutional_responsiveness,Institutional responsiveness,indirect
13,Anhebung des Spitzensteuersatzes,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,economic_security,Economic security,direct
14,Kompetenzen in der Schulpolitik,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,institutional_responsiveness,Institutional responsiveness,direct
15,Rüstungsexporte nach Israel,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,democratic_institutions,Democratic institutions,indirect
16,Krankenkassen,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,economic_security,Economic security,direct
17,Abschaffung der Frauenquote,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,social_trust,Social trust,direct
18,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,not_directly_related,Not directly related,low
19,Projekte gegen Rechtsextremismus,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,democratic_institutions,Democratic institutions,direct
20,Kontrolle von Zulieferern,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,democratic_institutions,Democratic institutions,direct
21,Elternabhängiges BAföG,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,economic_security,Economic security,direct
22,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,institutional_responsiveness,Institutional responsiveness,indirect
23,Arbeitserlaubnis für Asylsuchende,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,participation_civic_inclusion,Participation and civic inclusion,direct
24,Verwerfen der Klimaziele,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",institutional_responsiveness,Institutional responsiveness,indirect
25,35-Stunden-Woche,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,economic_security,Economic security,direct
26,Schwangerschaftsabbruch nach Beratung,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,democratic_institutions,Democratic institutions,indirect
27,Nationale Währung,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,democratic_institutions,Democratic institutions,indirect
28,Schiene vor Straße,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,institutional_responsiveness,Institutional responsiveness,indirect
29,Ehrenamt,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,participation_civic_inclusion,Participation and civic inclusion,direct
30,Umlegung der Grundsteuer,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,economic_security,Economic security,direct
