issue_id,issue_title,issue_text
1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.
2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.
3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen."
4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden."
6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.
7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.
8,Energieintensive Unternehmen,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.
9,Rente nach 40 Beitragsjahren,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.
10,Grundgesetz,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.
11,Anwerbung von Fachkräften,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.
12,Nutzung der Kernenergie,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.
13,Anhebung des Spitzensteuersatzes,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.
14,Kompetenzen in der Schulpolitik,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.
15,Rüstungsexporte nach Israel,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.
16,Krankenkassen,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.
17,Abschaffung der Frauenquote,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.
18,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.
19,Projekte gegen Rechtsextremismus,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.
20,Kontrolle von Zulieferern,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.
21,Elternabhängiges BAföG,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.
22,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.
23,Arbeitserlaubnis für Asylsuchende,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.
24,Verwerfen der Klimaziele,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden."
25,35-Stunden-Woche,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.
26,Schwangerschaftsabbruch nach Beratung,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.
27,Nationale Währung,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.
28,Schiene vor Straße,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.
29,Ehrenamt,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.
30,Umlegung der Grundsteuer,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.
31,Einschränkung des Streikrechts,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.
32,Volksentscheide,In Deutschland soll es auf Bundesebene Volksentscheide geben können.
33,Strafrecht für unter 14-Jährige,Unter 14-Jährige sollen strafrechtlich belangt werden können.
34,Abschaffung von Zöllen,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.
35,Zweite Staatsbürgerschaft,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben."
36,Soziales Pflichtjahr,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.
37,Fossile Brennstoffe,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.
38,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.
